初句,二句,三句,四句,結句,感情:嬉しい,感情:面白い,感情:穏やか,感情:しみじみ,感情:寂しい,感情:怒り,初句の音節数,二句の音節数,三句の音節数,四句の音節数,五句の音節数,合計音節数,タグ:日常,タグ:人間関係,タグ:仕事,タグ:人生,タグ:家族,タグ:恋愛,タグ:旅行,タグ:自然,タグ:時事
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
永遠と,ラリーが続き,汗つたう,生き飲む会場,響くピンポン,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
楽しそう,気楽に入った,卓球部,意外とキツいぞ,反復横跳び,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
強敵だ,怯まず挑む,全員で,仲間と繋ぐ,バレーのボール,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
寒い冬,身体にあたる,ボールが痛い,だけど辞めない,春はもうすぐ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
和英辞書,片手に教えた,折鶴は,海をも越える,友情の証,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
さびしいな,みんなとお別れ,いやだけど,新しい一歩,踏み出していこう,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
泣き笑い,仲間とともに,輝いた,思い出胸に,夢へ羽ばたけ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
ありがとう,いつも一緒に,いてくれて,離れていても,心はともに,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
巡りあい,今でも続く,腐れ縁,出会いなければ,わたしはいない,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
時忘れ,気付けば長居,してしまう,それが友との,語り合いなり,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
価値観が,違うからこそ,言い合って,理解し合って,深まる絆,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
なつかしき,ベーゴマ握り,友達と,夢中にあそぶ,十三の秋,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
思い出の,手紙の返事,まちわびて,日々わすれない,ポストのチェック,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
登校時,「行きたくないな」と,言ってても,行ったら行ったで,楽しい学校,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
電車にて,幼なじみの,あの人に,小さいままだと,言われた私,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
暑い夏,汗水たらし,がむしゃらに,最高の仲間と,最後の舞台,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
友達と,話した時間,永遠に,私の記憶,残り続けて,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
帰り道,雨でも友達,一緒なら,晴れにも負けない,楽しい時間,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
スマートフォン,人と人とを,繋げれる,友達つくる,近道になる,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
制服も,この風景も,友達も,ここにしかない,宝物です,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
読書中,友達が来て,中断に,話に夢中で,内容忘れる,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
友達と,大きな夢を,かたりあう,心ははずみ,笑顔にかわる,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
友達に,負けたくなくて,嘘をつく,おれの父さん,社長なんだぜ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
リアルより,ある意味多い,友達も,ほんとに安心,できるものかな,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
沖縄に,毎月行きたい,海を見る,君の横顔,見ていたいから,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
あっけなく,春過ぎ去れば,沖縄の,蛇口に熱湯,あふれだす夏,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
沖縄の,海は青くて,風の中,わたしは空気を,お土産にした,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
沖縄の,方言で聞く,「ありがとう」,他の県より,あたたかい気がする,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
沖縄に,行ったことすら,ないけれど,歌聴くだけで,得した気分,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
二十三,沖縄に行き,人生で,初めて青い,海を見た日,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,9,5,7,10,1,1,,,,,,,,,,,,,,,
珊瑚には,天然色の,熱帯魚,マリンブルーに,透ける沖縄,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,6,6,7,2,2,1,,,,,,,,,,,,,,,
沖縄の,水色の海,珊瑚たち,安心をする,水色ならば,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,2,4,6,5,2,1,,,,,,,,,,,,,,,
沖縄の,命(ぬち)どぅ宝,その言葉,摩文仁(まぶに)の丘で,幾度呟く,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
自らの,人生を語る,沖縄の,おばあの強い,瞳忘れない,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
わが子をね,“思い産んだ子”で,思産子(うみなしぐれ),うちなーぐちは,心がほっこり,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
沖縄に,降らぬ雪への,憧れか,雪払いなる,組踊あり,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
太陽の,恵みたっぷり,沖縄の,届いたマンゴー,とろける笑顔,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
三線が,響き渡れば,泡盛を,片手に踊る,グソーの世界,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
琉球の,思い溢れる,朱の城,失せてなお立つ,龍の目に涙,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
行ったこと,ないけど君は,琉球だ,凪に浮かんだ,優しさの島,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
場内に,響く琉球,太鼓から,生きる鼓動が,僕に生まれた,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
東(ひんがし)の,空に旗振り,エイサーの,太鼓響きて,夏来(きた)る,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
滑走路,有刺鉄線,プラカード,風はフェンスを,抜けてくるのに,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
戦争の,悲しさ苦しみ,乗り越えて,ハイビスカスが,眩しく咲いて,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
負けたって,どうでもいいよ,お揃いの,Ｔシャツ作る,口実だから,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
体育祭,勝利に喜び,ハイタッチ,私がするのは,許されなかった,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
競技より,覚えてるのは,後夜祭,フォークダンスと,打ち上げ花火,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
体育祭,トラック駆ける,君見つけ,幸と愁いで,半周ずつ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
リレーバトン,君に繋ぐ,祈るように,青いハチマキ,砂の味,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
来年は,君から借りた,学ランで,君を真っ直ぐ,応援するんだ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
体育祭,借り物の指示,「好きな人」,心拍数は,校内トップ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
体育祭,君と同じ,赤色の,鉢巻巻いて,全力疾走,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
うれしくて,つい駆け寄った,学年で,一番速い,わたしの一番,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
真っ白い,体操服に,照りつける,君は太陽,体育の秋,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
旗を持ち,「若い力」を,全力で,歌う団長,ロケットが如く,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
体育祭,終わった後の,校庭は,なぜか悲しく,なぜか寂しい,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
懸命に,飛んで走って,応援し,燃えつきた秋,友と刻みし,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
体育祭,みんな輝く,奇跡の日,のはずだったけど,君だけ眩しい,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
もういっそ,雨天中止を,決めてくれ,明日も雨だし,気温は１２℃,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
歓声と,ともに起こせよ,砂ぼこり,その先に君,視線隠して,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
100メートル,リレーが終わった,その後も,歩くし食べるし,いつかは死ぬし,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
悔しさも,愛も闘志も,出し切って,笑顔咲き誇れ,君に勝利あれ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
お揃いの,Ｔシャツを着て,お揃いの,思い出つくる,私の青春,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
「本当に,待ちに待ったの？」,「なわけない」,今日はつまらん,体育祭ね,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
